,potential_V,current_A,j_A/mm2,abs_j_A/mm2,progress,renorm_potential_V
2692,1.7835169999999998,0.1423151,0.0008601497615755786,0.0008601497615755786,0.6797717184527584,0.014948000000000405
2693,1.7823669999999998,0.14087979999999997,0.0008514748356345544,0.0008514748356345544,0.6800887761572606,0.01609800000000039
2694,1.781248,0.13944,0.0008427727117789938,0.0008427727117789938,0.6804058338617628,0.01721700000000026
2695,1.780113,0.1379619,0.0008338391034508201,0.0008338391034508201,0.6807228915662651,0.018352000000000146
2696,1.7789529999999998,0.13658979999999998,0.0008255461571095123,0.0008255461571095123,0.6810399492707673,0.019512000000000418
2697,1.77783,0.1352205,0.0008172701339150274,0.0008172701339150274,0.6813570069752695,0.02063500000000018
2698,1.776663,0.1338284,0.0008088563079535563,0.0008088563079535563,0.6816740646797718,0.0218020000000001
2699,1.7755290000000001,0.13242,0.000800343965101652,0.000800343965101652,0.681991122384274,0.022936000000000067
2700,1.774373,0.1310681,0.0007921731071767092,0.0007921731071767092,0.6823081800887761,0.024092000000000224
2701,1.7732860000000001,0.1295779,0.0007831663666783367,0.0007831663666783367,0.6826252377932783,0.025179000000000062
2702,1.772125,0.1282238,0.000774982211995176,0.000774982211995176,0.6829422954977806,0.026340000000000252
2703,1.7709970000000002,0.1269106,0.0007670452561352495,0.0007670452561352495,0.6832593532022828,0.027468000000000048
2704,1.769869,0.1254969,0.0007585008801840017,0.0007585008801840017,0.683576410906785,0.028596000000000288
2705,1.768678,0.12412970000000001,0.0007502375493496341,0.0007502375493496341,0.6838934686112873,0.02978700000000023
2706,1.767569,0.1227748,0.0007420485594816668,0.0007420485594816668,0.6842105263157895,0.030896000000000257
2707,1.766427,0.1214619,0.0007341134168160425,0.0007341134168160425,0.6845275840202917,0.03203800000000023
2708,1.765248,0.12008989999999999,0.0007258210748728354,0.0007258210748728354,0.6848446417247939,0.033217000000000274
2709,1.7641189999999998,0.11876960000000002,0.000717841206747751,0.000717841206747751,0.6851616994292962,0.03434600000000043
2710,1.7630119999999998,0.11742060000000001,0.0007096878763677318,0.0007096878763677318,0.6854787571337984,0.0354530000000004
2711,1.761854,0.1160722,0.0007015381723763176,0.0007015381723763176,0.6857958148383005,0.03661100000000017
