,potential_V,current_A,j_A/mm2,abs_j_mA/mm2,progress,renorm_potential_V
1815,0.3992329,0.1285715,0.0009121817056158672,0.0009121817056158672,0.6720799500312304,0.1260749
1816,0.39825170000000004,0.128236,0.0009098014194542052,0.0009098014194542052,0.6727045596502186,0.12705609999999995
1817,0.39723220000000004,0.12801220000000002,0.0009082136160474098,0.0009082136160474098,0.6733291692692067,0.12807559999999996
1818,0.39622820000000003,0.12765289999999999,0.000905664475010494,0.000905664475010494,0.6739537788881949,0.12907959999999996
1819,0.3952071,0.1272887,0.0009030805697345559,0.0009030805697345559,0.674578388507183,0.1301007
1820,0.3942462,0.1270352,0.000901282052470826,0.000901282052470826,0.6752029981261711,0.1310616
1821,0.3932062,0.12683989999999998,0.000899896449229775,0.000899896449229775,0.6758276077451593,0.13210159999999999
1822,0.3922541,0.126567,0.000897960293958486,0.000897960293958486,0.6764522173641474,0.1330537
1823,0.39120040000000006,0.1263903,0.0008967066529308685,0.0008967066529308685,0.6770768269831355,0.13410739999999993
1824,0.3902314,0.1261329,0.0008948804661707736,0.0008948804661707736,0.6777014366021237,0.13507639999999999
1825,0.3892237,0.1257613,0.0008922440597991683,0.0008922440597991683,0.6783260462211118,0.13608409999999999
1826,0.38823620000000003,0.125519,0.0008905250036532049,0.0008905250036532049,0.6789506558401,0.13707159999999996
1827,0.38724169999999997,0.1251722,0.000888064546899511,0.000888064546899511,0.6795752654590881,0.13806610000000002
1828,0.3862281,0.124679,0.0008845654198207278,0.0008845654198207278,0.6801998750780761,0.13907969999999997
1829,0.3851973,0.12427069999999998,0.0008816686363935844,0.0008816686363935844,0.6808244846970642,0.14011049999999997
1830,0.38421609999999995,0.1238,0.0008783291410246,0.0008783291410246,0.6814490943160524,0.14109170000000004
1831,0.3832139,0.1232488,0.0008744185188716699,0.0008744185188716699,0.6820737039350405,0.1420939
1832,0.3821992,0.1228378,0.0008715025796393506,0.0008715025796393506,0.6826983135540287,0.14310859999999997
1833,0.3811605,0.12241389999999999,0.000868495118226747,0.000868495118226747,0.6833229231730168,0.14414729999999998
1834,0.3801902,0.1219595,0.0008652712671630832,0.0008652712671630832,0.6839475327920049,0.1451176
1835,0.3792219,0.1214162,0.000861416693477149,0.000861416693477149,0.6845721424109931,0.1460859
1836,0.37818959999999996,0.12093339999999998,0.0008579913517220061,0.0008579913517220061,0.6851967520299812,0.14711820000000003
1837,0.3771908,0.12040839999999998,0.0008542666118267079,0.0008542666118267079,0.6858213616489693,0.148117
1838,0.37621720000000003,0.1198844,0.0008505489666740675,0.0008505489666740675,0.6864459712679575,0.14909059999999996
1839,0.3752227,0.1194478,0.000847451402029711,0.000847451402029711,0.6870705808869456,0.15008509999999997
1840,0.3742292,0.1188307,0.0008430732363356376,0.0008430732363356376,0.6876951905059338,0.1510786
1841,0.373218,0.118377,0.0008398543515918342,0.0008398543515918342,0.6883198001249219,0.1520898
1842,0.3722474,0.1178622,0.0008362019780716447,0.0008362019780716447,0.68894440974391,0.15306039999999999
1843,0.37121609999999994,0.11732269999999999,0.0008323743644078097,0.0008323743644078097,0.6895690193628982,0.15409170000000005
1844,0.37020390000000003,0.1169039,0.0008294030861827605,0.0008294030861827605,0.6901936289818863,0.15510389999999996
1845,0.3692304,0.1164292,0.000826035211843145,0.000826035211843145,0.6908182386008744,0.15607739999999998
1846,0.3682045,0.11608239999999999,0.0008235747550894509,0.0008235747550894509,0.6914428482198626,0.1571033
1847,0.36717859999999997,0.1156258,0.0008203352955919402,0.0008203352955919402,0.6920674578388507,0.15812920000000003
1848,0.3661933,0.11524749999999999,0.0008176513544445282,0.0008176513544445282,0.6926920674578388,0.1591145
1849,0.3651987,0.1148068,0.000814524701355275,0.000814524701355275,0.693316677076827,0.1601091
1850,0.3641857,0.11432460000000001,0.000811103616445727,0.000811103616445727,0.6939412866958151,0.1611221
1851,0.3631761,0.11384289999999998,0.0008076860789075074,0.0008076860789075074,0.6945658963148033,0.1621317
1852,0.3621689,0.11340599999999999,0.0008045863858403537,0.0008045863858403537,0.6951905059337914,0.16313889999999998
1853,0.3612335,0.11299369999999999,0.0008016612234425795,0.0008016612234425795,0.6958151155527794,0.1640743
1854,0.360173,0.11268419999999998,0.0007994654005900179,0.0007994654005900179,0.6964397251717676,0.16513479999999997
1855,0.3591765,0.11236310000000001,0.0007971872787226272,0.0007971872787226272,0.6970643347907557,0.16613129999999998
1856,0.3582357,0.11214369999999999,0.0007956306921835253,0.0007956306921835253,0.6976889444097438,0.1670721
1857,0.3572327,0.11178230000000001,0.0007930666521870288,0.0007930666521870288,0.698313554028732,0.16807509999999998
1858,0.35619409999999996,0.11143510000000001,0.0007906033575362715,0.0007906033575362715,0.6989381636477201,0.16911370000000003
1859,0.3551777,0.111203,0.0007889566677654168,0.0007889566677654168,0.6995627732667082,0.1701301
1860,0.3542,0.1108897,0.0007867338848907559,0.0007867338848907559,0.7001873828856964,0.17110779999999998
1861,0.3532308,0.11058079999999999,0.0007845423188837891,0.0007845423188837891,0.7008119925046845,0.17207699999999998
1862,0.352209,0.1103444,0.0007828651217195062,0.0007828651217195062,0.7014366021236726,0.1730988
1863,0.351254,0.1101422,0.0007814305647541171,0.0007814305647541171,0.7020612117426608,0.17405379999999998
1864,0.3502402,0.10982,0.0007791446386698028,0.0007791446386698028,0.7026858213616489,0.1750676
1865,0.34921409999999997,0.109606,0.0007776263637410526,0.0007776263637410526,0.7033104309806371,0.17609370000000002
1866,0.3482105,0.1094404,0.0007764514743569356,0.0007764514743569356,0.7039350405996252,0.1770973
1867,0.3471905,0.1092673,0.000775223374402886,0.000775223374402886,0.7045596502186133,0.17811729999999998
1868,0.3461842,0.10914549999999999,0.0007743592347471767,0.0007743592347471767,0.7051842598376015,0.1791236
1869,0.3452077,0.10890989999999999,0.00077268771337702,0.00077268771337702,0.7058088694565896,0.18010009999999999
1870,0.34421609999999997,0.1087021,0.0007712134258527478,0.0007712134258527478,0.7064334790755777,0.18109170000000002
1871,0.34321799999999997,0.1084413,0.0007693631169676168,0.0007693631169676168,0.7070580886945659,0.18208980000000002
1872,0.34218990000000005,0.1082059,0.0007676930145459916,0.0007676930145459916,0.707682698313554,0.18311789999999994
1873,0.3412322,0.1079383,0.0007657944614107882,0.0007657944614107882,0.7083073079325422,0.1840756
1874,0.34017990000000004,0.1076103,0.0007634673858190592,0.0007634673858190592,0.7089319175515303,0.18512789999999996
1875,0.33921890000000005,0.1073316,0.0007614900810403551,0.0007614900810403551,0.7095565271705184,0.18608889999999995
1876,0.3382259,0.10704300000000001,0.0007594425383093399,0.0007594425383093399,0.7101811367895066,0.18708189999999997
